,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
201,After Hours,13,2p8IUWQDrpjuFltbdgLOag,After Hours,spotify:track:2p8IUWQDrpjuFltbdgLOag,0.0811,0.664,0.572,0.00604,0.121,-6.099,0.0305,108.959,0.143,81
202,After Hours,14,2BcnxwxBuar5wjCaLqm5N3,Until I Bleed Out,spotify:track:2BcnxwxBuar5wjCaLqm5N3,0.423,0.245,0.394,2.9e-05,0.093,-9.887,0.0374,115.233,0.148,64
203,After Hours,1,1he88AZd2sM9ECcNvVz6TP,Alone Again,spotify:track:1he88AZd2sM9ECcNvVz6TP,0.033,0.218,0.652,0.111,0.172,-7.953,0.0641,65.375,0.0599,32
204,After Hours,2,1g3yj5qV7qrryg5w7hBDQu,Too Late,spotify:track:1g3yj5qV7qrryg5w7hBDQu,0.052,0.638,0.863,5.46e-05,0.685,-5.221,0.132,120.077,0.226,31
205,After Hours,3,3EBPojc6Qiy9JArPLmwQFT,Hardest To Love,spotify:track:3EBPojc6Qiy9JArPLmwQFT,0.0909,0.467,0.608,8.83e-05,0.125,-7.847,0.0704,80.957,0.108,34
206,After Hours,4,3dMfqx5iDMUiaOxW6i81Io,Scared To Live,spotify:track:3dMfqx5iDMUiaOxW6i81Io,0.131,0.498,0.498,0.0,0.0929,-8.24,0.0494,88.085,0.196,35
207,After Hours,5,6SJbe5dxOdk8NQ3cB5kr3m,Snowchild,spotify:track:6SJbe5dxOdk8NQ3cB5kr3m,0.175,0.704,0.552,0.000169,0.123,-7.648,0.0964,148.044,0.279,28
208,After Hours,6,5lEzp5r5nDYtaaSIZgRtpk,Escape From LA,spotify:track:5lEzp5r5nDYtaaSIZgRtpk,0.062,0.41,0.482,0.00595,0.161,-9.04,0.0427,145.929,0.195,32
209,After Hours,7,5PKKJ4fo3ZuGcYKkI79fgf,Heartless,spotify:track:5PKKJ4fo3ZuGcYKkI79fgf,0.0281,0.614,0.758,1.18e-06,0.137,-5.434,0.0774,84.969,0.25,47
210,After Hours,8,1XHDB8m5YwG3WJ4Tv5TMh2,Faith,spotify:track:1XHDB8m5YwG3WJ4Tv5TMh2,0.614,0.457,0.578,0.0633,0.144,-7.263,0.0629,87.98,0.144,30
211,After Hours,9,0kPmcPPkjoyfLhUwHLWrk0,Blinding Lights,spotify:track:0kPmcPPkjoyfLhUwHLWrk0,0.00146,0.515,0.731,9.59e-05,0.0897,-5.934,0.0592,171.004,0.336,39
212,After Hours,10,2jo3etFarByI6akx5cyPDg,In Your Eyes,spotify:track:2jo3etFarByI6akx5cyPDg,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,0.717,45
213,After Hours,11,5AG3LHmg3FyVbRESspoPAD,Save Your Tears,spotify:track:5AG3LHmg3FyVbRESspoPAD,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,0.644,55
214,After Hours,12,2cdSh2bMoXZ97vu2zrljRU,Repeat After Me (Interlude),spotify:track:2cdSh2bMoXZ97vu2zrljRU,0.0326,0.315,0.616,0.00247,0.105,-8.163,0.0329,94.987,0.118,25
215,After Hours,13,5E7FaORv5mrP2xylB1aOHs,After Hours,spotify:track:5E7FaORv5mrP2xylB1aOHs,0.0815,0.665,0.572,0.00615,0.121,-6.103,0.0303,108.973,0.139,30
216,After Hours,14,0DpjWHMsfhhTCz3VBLQPDx,Until I Bleed Out,spotify:track:0DpjWHMsfhhTCz3VBLQPDx,0.423,0.245,0.394,2.9e-05,0.093,-9.887,0.0374,115.233,0.148,26
217,"My Dear Melancholy,",1,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,spotify:track:09mEdoA6zrmBPgTEN5qXmN,0.17,0.461,0.593,0.0,0.307,-4.954,0.0356,134.17,0.175,88
218,"My Dear Melancholy,",2,4ppTAJUbNXELZcoUaL90wo,Try Me,spotify:track:4ppTAJUbNXELZcoUaL90wo,0.596,0.456,0.679,0.000573,0.129,-5.778,0.064,92.026,0.107,74
219,"My Dear Melancholy,",3,7DKS0rX27cCEPsK0R6tFWS,Wasted Times,spotify:track:7DKS0rX27cCEPsK0R6tFWS,0.61,0.56,0.678,1.42e-05,0.111,-6.167,0.0581,122.585,0.29,73
220,"My Dear Melancholy,",4,1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,0.142,0.323,0.737,0.000162,0.163,-4.008,0.0338,113.26,0.155,89
221,"My Dear Melancholy,",5,6QdnKD1zwEgyOWtkrdzlOF,Hurt You,spotify:track:6QdnKD1zwEgyOWtkrdzlOF,0.263,0.476,0.718,0.00261,0.109,-7.227,0.149,183.932,0.361,73
222,"My Dear Melancholy,",6,0Nwar8rweBUyfyuoyjjUvk,Privilege,spotify:track:0Nwar8rweBUyfyuoyjjUvk,0.915,0.404,0.564,0.00252,0.134,-7.013,0.0344,93.631,0.371,67
223,"My Dear Melancholy,",7,5PTfZsGlsDDPH8i3PdQnXJ,Call Out My Name - A Cappella,spotify:track:5PTfZsGlsDDPH8i3PdQnXJ,0.887,0.397,0.339,0.0,0.306,-6.688,0.0361,135.089,0.459,60
224,"My Dear Melancholy,",1,1HCLJRFIChC0yk8aSTWXiC,Call Out My Name,spotify:track:1HCLJRFIChC0yk8aSTWXiC,0.168,0.462,0.595,0.0,0.299,-4.941,0.0355,134.173,0.171,43
225,"My Dear Melancholy,",2,2WtPqHBeK34kfrPVUKcxxy,Try Me,spotify:track:2WtPqHBeK34kfrPVUKcxxy,0.596,0.448,0.679,0.00062,0.129,-5.777,0.0655,91.821,0.107,28
226,"My Dear Melancholy,",3,5gbuSMNKxTvqWpLafumUL6,Wasted Times,spotify:track:5gbuSMNKxTvqWpLafumUL6,0.602,0.557,0.675,1.52e-05,0.11,-6.163,0.0611,122.607,0.267,34
227,"My Dear Melancholy,",4,3FSdXvqyomu6Lakhn7JSAO,I Was Never There,spotify:track:3FSdXvqyomu6Lakhn7JSAO,0.137,0.324,0.738,0.000157,0.164,-4.008,0.0337,113.425,0.156,48
228,"My Dear Melancholy,",5,56fUbkZ2DHk2PixrNaxlzJ,Hurt You,spotify:track:56fUbkZ2DHk2PixrNaxlzJ,0.249,0.479,0.721,0.00372,0.111,-7.23,0.0876,183.908,0.388,33
229,"My Dear Melancholy,",6,3QuKOVSKsdbzK41rO2qkU5,Privilege,spotify:track:3QuKOVSKsdbzK41rO2qkU5,0.922,0.388,0.566,0.00617,0.135,-7.037,0.0353,94.039,0.377,29
230,"My Dear Melancholy,",7,5wFIG3Zq3bMsofoKYXhu1m,Call Out My Name - A Cappella,spotify:track:5wFIG3Zq3bMsofoKYXhu1m,0.887,0.397,0.339,0.0,0.306,-6.688,0.0361,135.089,0.459,19
231,Starboy,1,7MXVkk9YMctZqd1Srtv4MB,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,0.486,89
232,Starboy,2,4F7A0DXBrmUAkp32uenhZt,Party Monster,spotify:track:4F7A0DXBrmUAkp32uenhZt,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,0.218,75
233,Starboy,3,4oeaIftdpT3JuZLcCkKmVE,False Alarm,spotify:track:4oeaIftdpT3JuZLcCkKmVE,0.0324,0.517,0.677,3.37e-05,0.189,-6.373,0.0746,173.978,0.192,69
234,Starboy,4,37F0uwRSrdzkBiuj0D5UHI,Reminder,spotify:track:37F0uwRSrdzkBiuj0D5UHI,0.142,0.706,0.505,0.0,0.164,-6.923,0.193,160.053,0.388,75
235,Starboy,5,36YCdzT57us0LhDmCYtrNE,Rockin’,spotify:track:36YCdzT57us0LhDmCYtrNE,0.0133,0.738,0.885,0.0,0.0821,-5.547,0.206,112.878,0.752,68
236,Starboy,6,00NAQYOP4AmWR549nnYJZu,Secrets,spotify:track:00NAQYOP4AmWR549nnYJZu,0.0155,0.664,0.771,9.6e-06,0.46,-5.779,0.0533,109.945,0.763,71
237,Starboy,7,1oGdVdYjeQvojGKDddxLQQ,True Colors,spotify:track:1oGdVdYjeQvojGKDddxLQQ,0.286,0.624,0.424,0.0,0.173,-8.237,0.24,76.671,0.584,66
238,Starboy,8,4EDijkJdHBZZ0GwJ12iTAj,Stargirl Interlude,spotify:track:4EDijkJdHBZZ0GwJ12iTAj,0.351,0.638,0.474,0.191,0.105,-12.7,0.124,179.771,0.441,81
239,Starboy,9,4h90qkbnW1Qq6pBhoPvwko,Sidewalks,spotify:track:4h90qkbnW1Qq6pBhoPvwko,0.147,0.542,0.72,0.0,0.348,-5.136,0.0628,149.828,0.623,72
240,Starboy,10,4mU5iXHeLgbR94siF7p1sY,Six Feet Under,spotify:track:4mU5iXHeLgbR94siF7p1sY,0.129,0.772,0.504,0.0,0.125,-8.219,0.0761,140.035,0.244,68
241,Starboy,11,27BgDmciSjoxTG0almHTpZ,Love To Lay,spotify:track:27BgDmciSjoxTG0almHTpZ,0.052,0.711,0.807,0.0,0.214,-5.052,0.0608,116.971,0.698,62
242,Starboy,12,0ifooM33X1iBxVYyOkSbXW,A Lonely Night,spotify:track:0ifooM33X1iBxVYyOkSbXW,0.0431,0.853,0.663,8.71e-06,0.0891,-6.955,0.0755,113.998,0.864,69
243,Starboy,13,6pDVjCUA3B1vg9waKutAsv,Attention,spotify:track:6pDVjCUA3B1vg9waKutAsv,0.688,0.671,0.428,0.000182,0.119,-7.052,0.124,148.04,0.362,65
244,Starboy,14,15k2nBQJ0teDmPZHrOXL2N,Ordinary Life,spotify:track:15k2nBQJ0teDmPZHrOXL2N,0.0275,0.537,0.587,0.0,0.0961,-7.486,0.0771,149.748,0.365,64
245,Starboy,15,57qiTKh8bVX0VtfUNTQqhw,Nothing Without You,spotify:track:57qiTKh8bVX0VtfUNTQqhw,0.0646,0.575,0.634,0.0,0.0878,-8.1,0.068,109.825,0.191,66
246,Starboy,16,0NWqNXBJTpXbkI5rPWNy3p,All I Know,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,0.421,0.467,0.417,0.000202,0.102,-10.614,0.074,120.021,0.171,64
247,Starboy,17,2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,0.111,0.582,0.525,0.0,0.134,-7.163,0.0627,133.249,0.51,87
248,Starboy,18,3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,0.428,0.773,0.819,0.0,0.0679,-5.946,0.118,92.987,0.585,80
249,Starboy,1,7HtPBwBoCBDy1tpstag7HL,Starboy,spotify:track:7HtPBwBoCBDy1tpstag7HL,0.134,0.677,0.592,3.86e-06,0.175,-7.108,0.281,186.038,0.528,59
250,Starboy,2,2dNVHgOx99fv4oSVF9GN1Y,Party Monster,spotify:track:2dNVHgOx99fv4oSVF9GN1Y,0.191,0.588,0.635,1.24e-05,0.259,-8.417,0.0531,77.486,0.208,46
251,Starboy,3,32lgtADX2cB9I4KFs1Y1py,False Alarm,spotify:track:32lgtADX2cB9I4KFs1Y1py,0.0324,0.518,0.676,3.62e-05,0.189,-6.373,0.0744,173.998,0.197,52
252,Starboy,4,31F83eeeh5Sz6g616t13DW,Reminder,spotify:track:31F83eeeh5Sz6g616t13DW,0.16,0.744,0.496,1.72e-06,0.164,-6.931,0.0804,80.031,0.446,43
253,Starboy,5,02V0fopGouDF5GbDHftv4S,Rockin’,spotify:track:02V0fopGouDF5GbDHftv4S,0.0117,0.736,0.883,0.0,0.0734,-5.595,0.214,112.92,0.797,39
254,Starboy,6,3DX4Y0egvc0slLcLl31h2p,Secrets,spotify:track:3DX4Y0egvc0slLcLl31h2p,0.0155,0.665,0.771,9.6e-06,0.46,-5.779,0.0533,109.948,0.764,59
255,Starboy,7,6i759FCuKx713ZnYjtpQGU,True Colors,spotify:track:6i759FCuKx713ZnYjtpQGU,0.284,0.616,0.424,0.0,0.173,-8.237,0.251,76.676,0.582,60
256,Starboy,8,5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,0.353,0.715,0.47,0.0923,0.104,-12.638,0.0772,89.965,0.426,82
257,Starboy,9,2Eomvb6YHo8lhfleLufuca,Sidewalks,spotify:track:2Eomvb6YHo8lhfleLufuca,0.15,0.536,0.721,0.0,0.348,-5.144,0.0649,149.839,0.612,41
